participation_channel,city_id,survey_id,agent_id,twitter_profile,gender,birth_date,arrival_date,district_id,engagement_feeling,source_social_medias,source_messaging_app,source_word_mouth,source_internet,source_email,source_print_medias,source_newspapers,source_radio,source_tv,source_city_council,source_other,total_sources,facebook,twitter,youtube,medium,linkedin,instagram,Pinterest,Snapchat,other_social_media,total_social_medias,line,whatsapp,wechat,slack,telegram,messenger,other_messaging_app,total_messaging_app,agent_category,agent_type,influencer_national_gov,influencer_local_gov,influencer_public_services,influencer_investor,influencer_academic,influencer_private_research,influencer_corporate,influencer_startup,influencer_freelance,influencer_local_nonprofit,influencer_international_nonprofit,influencer_individual,total_influencers,relationship_public,relationship_academic,relationship_private,relationship_civil,neighborhood,global_events,startup_structure,business_clusters,public_infrastructure,governmental_meeting,online,other_meeting_place,total_meeting_places,opinion_share,opinion_change,engagement_wish,online_survey,workshop,interview,voting_app,project,total_engagement,engagement_freq,survey_date
Survey,Tallinn,258,258,,Man,2002-01-31,2013-08-01,Pirita,5,0,0,1,0,0,1,1,0,1,0,0,4,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,1,1,0,0,0,0,0,1,0,0,1,0,4,Neutral,Positive,Neutral,Positive,0,1,1,1,0,0,0,0,3,3,3,Yes,1,1,0,0,1,3,One hour a week,2020/06/02 12:32:50 PM UTC+3
Survey,Tallinn,252,252,,Woman,1985-09-13,2018-08-24,Kristiine,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,1,0,1,0,0,5,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,1,0,0,0,0,0,0,0,0,0,1,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,1,3,Yes,1,1,0,0,1,3,One hour a month,2020/06/01 8:42:51 PM UTC+3
Survey,Taipei,50,50,,Woman,1952-01-30,1973-09-01,Sōngshān/松山,2,1,1,1,1,1,0,1,0,1,0,0,7,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,3,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Neutral,Neutral,Neutral,Positive,1,0,1,0,0,0,1,0,3,2,5,Yes,0,1,0,1,0,2,One hour a year,2019/11/13 7:22:24 PM UTC+8
Survey,Tel Aviv,170,170,,Woman,1986-10-23,2012-01-01,לב העיר Lev HaIr,6,1,0,1,0,1,0,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,1,1,0,0,0,0,0,0,0,0,0,2,Negative,Positive,Neutral,Positive,0,0,0,0,1,0,1,0,2,3,3,Yes,1,0,0,1,0,2,One hour a week,2020/03/06 5:32:27 PM UTC+3
Survey,Taipei,23,23,,Woman,1968-06-06,1999-08-08,Beitóu/北投,7,1,1,0,1,0,0,0,0,1,0,0,4,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,1,0,0,0,1,Negative,Neutral,Neutral,Positive,1,0,0,0,0,0,1,0,2,3,2,No,1,0,0,1,0,2,Less than one hour a year,2019/11/10 7:01:34 PM UTC+8
Survey,Taipei,85,85,,Woman,1973-11-09,1973-11-09,Wànhuá/萬華,2,1,1,1,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,1,1,0,0,0,0,0,0,0,1,0,0,3,Negative,Neutral,Neutral,Negative,0,0,1,1,0,0,0,0,2,4,3,Yes,1,0,0,1,0,2,One hour a week,2019/11/18 9:23:03 PM UTC+8
Survey,Taipei,96,96,,Man,1982-07-18,2008-04-01,Zhōngshān/中山,4,1,1,1,1,1,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,3,1,0,0,1,1,1,0,4,Civil Society,Individual Citizen,1,1,1,0,0,1,1,0,1,1,0,1,8,Neutral,Neutral,Neutral,Positive,0,1,1,1,0,0,1,0,4,5,4,Yes,1,0,0,1,0,2,One hour a day,2019/11/20 10:41:10 PM UTC+8
Survey,Taipei,18,18,,Woman,1975-01-25,2010-10-10,Nángang,2,1,1,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,1,1,0,0,0,0,0,0,0,1,0,0,3,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,1,3,No,1,0,0,1,0,2,One hour a month,2019/11/09 9:59:54 AM UTC+8
Survey,Tallinn,259,259,,Man,1979-12-30,2018-07-15,Mustamäe,4,1,0,1,1,0,0,1,1,1,0,1,7,1,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,1,4,Civil Society,Individual Citizen,1,1,1,0,0,1,0,1,0,0,0,0,5,Neutral,Neutral,Neutral,Positive,0,0,0,0,0,0,1,0,1,5,3,Yes,1,0,0,1,0,2,One hour a week,2020/06/02 12:35:07 PM UTC+3
Survey,Taipei,62,62,,Man,1985-01-19,1985-01-19,New Taipei City,3,0,0,0,0,1,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,1,0,0,0,0,0,0,1,0,0,2,Neutral,Neutral,Neutral,Positive,0,0,0,0,0,0,1,0,1,1,3,Yes,1,1,0,1,0,3,One hour a month,2019/11/14 8:01:26 AM UTC+8
Survey,Tallinn,296,296,,Man,1996-09-28,1997-09-28,Kesklinn,2,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,0,1,1,1,0,0,0,0,0,0,0,0,3,Positive,Neutral,Neutral,Neutral,0,0,1,1,0,0,0,0,2,4,4,Yes,1,1,1,0,0,3,One hour a week,2020/06/10 12:44:36 PM UTC+3
Survey,Taipei,63,63,,Woman,1993-08-03,2015-09-01,Xìnyì/信義,1,0,0,1,1,0,1,1,0,1,0,0,5,0,0,1,1,1,1,0,0,0,4,1,0,0,1,0,0,0,2,Civil Society,Individual Citizen,1,0,0,0,0,1,0,0,0,0,0,0,2,Neutral,Neutral,Positive,Positive,0,0,1,1,0,0,0,0,2,2,5,Yes,1,1,1,1,0,4,One hour a day,2019/11/14 9:57:13 AM UTC+8
Survey,Tel Aviv,131,131,,Man,1974-04-07,1974-04-07,הצפון הישן HaTzafon HaYashan,5,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Neutral,Neutral,Positive,Negative,0,0,0,0,0,0,0,0,0,1,2,No,0,1,0,0,0,1,One hour a week,2020/02/18 5:35:17 PM UTC+3
Survey,Taipei,113,113,,Man,1997-12-25,1997-12-25,Xìnyì/信義,2,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,1,0,0,0,0,0,0,0,0,0,0,0,1,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,3,3,Yes,1,0,0,0,0,1,One hour a month,2019/11/30 4:30:05 PM UTC+8
Survey,Taipei,81,81,,Woman,1977-01-08,1996-09-01,Nèihú/內湖,4,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,3,Civil Society,Individual Citizen,1,1,0,0,0,0,0,0,0,0,0,1,3,Positive,Neutral,Negative,Neutral,1,1,0,0,0,0,0,0,2,1,3,,0,0,0,0,0,0,One hour a year,2019/11/18 12:18:36 AM UTC+8
Survey,Taipei,52,52,,Woman,1994-10-12,2013-09-01,Wénshān/文山,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,1,0,0,0,0,0,0,0,1,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,1,3,,0,0,0,0,0,0,One hour a month,2019/11/13 7:54:11 PM UTC+8
Survey,Tallinn,331,331,,Man,1992-06-25,1992-06-25,Kristiine,5,1,0,1,1,0,0,1,1,0,1,0,6,1,1,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,1,0,0,0,1,Negative,Positive,Positive,Positive,0,0,0,0,1,1,1,0,3,5,4,Yes,1,1,1,1,1,5,One hour a week,2020/06/25 7:26:58 PM UTC+3
Survey,Tel Aviv,147,147,,Man,1993-03-01,2016-03-01,יפו ג .Yafo C,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,4,3,Yes,0,0,1,0,1,2,One hour a day,2020/03/01 10:50:00 AM UTC+3
Survey,Taipei,120,120,,Woman,1992-10-17,1998-01-01,Nèihú/內湖,5,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,1,1,0,0,0,3,1,0,0,1,0,0,0,2,Civil Society,Individual Citizen,0,0,0,0,1,0,1,1,1,0,0,1,5,Neutral,Neutral,Neutral,Positive,0,1,1,0,0,0,1,0,3,2,3,Yes,1,0,0,0,1,2,One hour a month,2019/12/16 10:24:23 PM UTC+8
Survey,Tel Aviv,195,195,,Man,1992-11-28,2108-07-15,הצפון הישן HaTzafon HaYashan,1,1,0,1,1,0,0,0,0,1,0,0,4,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,1,0,0,0,0,0,0,0,0,0,1,2,Neutral,Positive,Positive,Positive,0,1,1,1,0,0,0,0,3,5,3,Yes,1,0,0,0,1,2,One hour a month,2020/03/19 9:59:23 PM UTC+3
Survey,Taipei,106,106,,Man,1980-01-01,1980-01-01,Wénshān/文山,3,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,1,1,1,0,0,0,0,0,0,0,0,0,3,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,2,2,Yes,1,0,0,1,0,2,One hour a month,2019/11/24 11:05:31 AM UTC+8
Survey,Tallinn,363,363,,Woman,2000-10-15,2019-01-20,Põhja-Tallinn,8,0,0,0,1,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,1,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Negative,Positive ; Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,1,2,Yes,1,0,1,1,0,3,Less than one hour a year,2020/07/06 4:29:01 PM UTC+3
Survey,Taipei,56,56,,Woman,1976-10-20,2013-10-02,Shìlín/士林,3,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,1,1,0,0,0,0,0,0,0,1,1,0,4,Neutral,Neutral,Neutral,Positive,0,0,0,0,0,0,1,0,1,4,2,Yes,1,1,1,1,0,4,One hour a month,2019/11/13 9:27:12 AM UTC+8
Survey,Taipei,16,16,,Man,1976-09-03,1976-09-03,Xìnyì/信義,5,1,1,1,1,0,0,0,0,1,0,0,5,1,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,3,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Negative,Negative,Neutral,Negative,0,0,0,0,0,0,1,0,1,1,2,Yes,0,0,0,1,0,1,Less than one hour a year,2019/11/09 12:42:00 PM UTC+8
Survey,Tallinn,301,301,,Man,1992-01-25,2018-08-24,Kristiine,5,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,4,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,1,0,0,0,0,0,0,0,0,0,0,0,1,Positive,Positive,Positive,Neutral,1,1,1,1,1,1,1,0,7,5,3,Yes,0,0,1,0,0,1,More than one hour a day,2020/06/11 6:41:21 PM UTC+3
Survey,Taipei,104,104,,Man,1999-10-20,1999-10-20,Sōngshān/松山,4,1,0,0,1,0,0,0,0,1,1,0,4,1,0,1,0,1,1,0,0,0,4,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,1,0,0,0,0,0,1,Neutral,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,1,3,3,Yes,0,0,1,0,0,1,One hour a year,2019/11/22 4:50:26 PM UTC+8
Survey,Taipei,38,38,,Woman,1996-05-21,2014-06-29,Dà'ān/大安,5,1,1,1,1,1,0,1,1,0,0,0,7,1,0,0,1,1,1,1,0,0,5,1,1,0,0,0,1,1,4,Civil Society,Individual Citizen,1,1,0,0,0,0,0,1,0,1,1,0,5,Neutral,Neutral,Neutral,Neutral,0,0,1,1,1,0,1,0,4,3,3,No,1,0,0,0,0,1,One hour a week,2019/11/13 10:40:19 AM UTC+8
Survey,Tel Aviv,138,138,,Woman,1992-12-20,2016-02-01,יהודה המכבי Yehuda HaMaccabi,3,1,0,1,1,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,3,5,No,1,0,0,0,0,1,One hour a year,2020/02/23 11:13:54 AM UTC+3
Survey,Tallinn,336,336,,Man,1981-05-15,2014-04-26,Telliskivi,4,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,1,0,0,0,0,0,0,0,0,0,0,0,1,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,2,3,Yes,1,0,0,0,0,1,One hour a week,2020/06/26 11:18:40 AM UTC+3
Survey,Taipei,55,55,,Man,1983-03-04,1983-03-04,Shìlín/士林,7,1,1,1,1,1,0,1,1,1,0,0,8,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,Civil Society,Individual Citizen,1,1,0,0,0,0,0,0,0,1,1,1,5,Neutral,Neutral,Neutral,Neutral,0,1,0,0,0,0,1,0,2,4,4,Yes,1,1,1,1,1,5,One hour a week,2019/11/13 9:20:02 AM UTC+8
Survey,Taipei,80,80,,Man,1974-11-07,1974-11-07,Shìlín/士林,4,1,1,1,1,0,1,1,1,0,0,0,7,1,1,1,1,0,0,0,0,0,4,1,0,0,1,1,1,0,4,Civil Society,Individual Citizen,1,1,1,1,0,0,0,0,1,0,0,0,5,Neutral,Positive,Positive,Neutral,1,0,1,1,0,0,1,0,4,2,3,Yes,1,1,1,1,1,5,One hour a week,2019/11/18 10:08:07 PM UTC+8
Survey,Tallinn,364,364,,Man,1980-01-01,2009-01-01,Kesklinn,5,1,0,1,1,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Neutral,Negative,Positive,Neutral,1,0,0,1,0,0,0,0,2,5,5,Yes,0,1,1,1,1,4,One hour a week,2020/07/06 4:46:24 PM UTC+3
Survey,Tallinn,338,338,,Man,1992-02-06,2016-08-28,Põhja-Tallinn,5,1,0,1,1,0,1,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,3,0,1,0,1,0,0,0,2,Civil Society,Individual Citizen,1,1,1,0,0,0,0,0,1,1,1,1,7,Positive,Positive,Neutral,Neutral,0,0,1,0,1,0,1,0,3,3,4,Yes,1,1,0,1,1,4,One hour a week,2020/06/26 3:24:08 PM UTC+3
Survey,Tallinn,352,352,,Man,1991-07-03,2016-09-15,Põhja-Tallinn,1,1,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,0,1,0,1,0,1,0,3,Civil Society,Individual Citizen,0,0,1,0,0,1,0,1,0,0,0,0,3,Neutral,Neutral,Positive,Neutral,0,0,0,0,0,0,1,0,1,5,3,Yes,1,1,0,1,1,4,One hour a week,2020/06/30 2:46:02 PM UTC+3
Survey,Tallinn,357,357,,Man,1976-10-30,2020-03-01,Kesklinn,1,1,0,1,1,0,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,3,Civil Society,Individual Citizen,1,0,0,0,0,0,0,0,0,0,0,1,2,Neutral,Neutral,Neutral,Neutral,0,0,0,1,0,0,0,0,1,5,4,Yes,1,1,0,1,1,4,One hour a day,2020/07/02 9:44:20 PM UTC+3
Survey,Taipei,46,46,,Woman,1965-04-08,1965-04-08,Zhōngzhèng/中正,1,1,0,0,0,1,0,1,0,1,0,0,4,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,Civil Society,Individual Citizen,0,1,0,0,0,0,1,1,0,0,0,0,3,Neutral,Neutral,Neutral,Positive,0,1,0,0,1,0,1,0,3,1,5,Yes,1,0,0,1,1,3,One hour a week,2019/11/13 12:59:27 PM UTC+8
Survey,Tallinn,342,342,,Man,1997-06-27,2015-06-27,Kesklinn,2,1,0,1,1,0,0,1,0,0,1,0,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,1,0,0,1,0,1,1,0,0,0,0,0,4,Neutral,Positive,Positive,Neutral,0,0,1,1,1,0,1,0,4,5,4,No,1,0,0,1,1,3,One hour a week,2020/06/27 10:16:46 AM UTC+3
Survey,Taipei,31,31,,Man,1982-02-16,1982-02-16,Sōngshān/松山,2,0,0,0,1,0,1,0,0,1,0,0,3,1,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,1,0,0,0,0,0,0,0,0,0,0,0,1,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,4,2,Yes,1,0,0,1,1,3,One hour a week,2019/11/12 7:09:00 PM UTC+8
Survey,Tallinn,353,353,,Woman,1982-05-19,2017-08-01,Põhja-Tallinn,3,1,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,1,0,0,0,0,1,0,0,0,1,0,0,3,Neutral,Neutral,Neutral,Neutral,0,0,1,0,1,0,0,0,2,3,3,Yes,1,0,0,1,0,2,One hour a year,2020/06/30 3:05:43 PM UTC+3
Survey,Tel Aviv,134,134,,Woman,1966-02-19,2010-02-19,,4,1,0,1,1,0,0,0,1,1,0,0,5,0,1,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,1,1,0,0,0,0,1,3,Neutral,Positive,Positive,Neutral,0,1,1,0,0,0,1,0,3,4,4,Yes,1,0,0,1,0,2,One hour a year,2020/02/19 4:22:06 PM UTC+3
Survey,Tel Aviv,223,223,,Man,1985-05-05,2009-01-01,הצפון הישן HaTzafon HaYashan,2,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,2,3,Yes,1,0,0,1,0,2,One hour a month,2020/03/29 5:23:37 PM UTC+3
Survey,Tel Aviv,140,140,,Woman,1976-04-19,1981-01-01,הצפון הישן HaTzafon HaYashan,1,1,0,1,1,1,0,0,0,1,0,0,5,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Negative,Neutral,Positive ; Neutral,Positive ; Neutral,0,0,0,0,0,0,1,0,1,3,2,No,1,0,0,1,0,2,One hour a month,2020/02/24 2:00:58 PM UTC+3
Survey,Tel Aviv,149,149,,Man,1994-07-07,1994-07-07,,3,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,1,0,0,0,0,1,1,0,3,Neutral,Positive,Positive ; Neutral,Positive ; Neutral,0,0,0,0,0,0,1,0,1,4,3,Yes,1,0,0,1,0,2,One hour a month,2020/03/01 4:52:24 PM UTC+3
Survey,Tallinn,292,292,,Woman,1987-02-06,2019-05-22,Mustamäe,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,3,Civil Society,Individual Citizen,1,0,1,0,0,1,1,0,0,0,1,0,5,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,3,3,Yes,1,0,0,1,0,2,Less than one hour a year,2020/06/09 12:49:39 PM UTC+3
Survey,Tallinn,365,365,,Man,1974-09-02,2015-10-01,Pirita,1,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,1,0,0,0,0,0,0,0,0,0,0,1,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,1,3,2,Yes,1,0,0,1,0,2,One hour a month,2020/07/06 4:48:51 PM UTC+3
Survey,Taipei,107,107,,Man,1976-06-05,1980-04-06,Sōngshān/松山,3,1,1,0,0,0,0,1,0,1,0,0,4,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,Civil Society,Individual Citizen,1,0,0,0,0,0,0,0,0,0,0,0,1,Neutral,Neutral,Positive,Neutral,1,0,1,0,0,0,0,0,2,2,2,Yes,0,1,1,0,0,2,One hour a year,2019/11/25 9:14:40 PM UTC+8
Survey,Tallinn,280,280,,Man,1976-04-24,1976-04-24,Haabersti,6,1,0,1,1,0,0,1,0,1,0,0,5,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,Civil Society,Individual Citizen,0,1,0,0,0,0,1,0,0,0,0,0,2,Neutral,Neutral,Positive,Positive,0,0,1,1,0,0,1,0,3,4,3,No,1,0,1,0,0,2,One hour a month,2020/06/07 5:04:11 PM UTC+3
